Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_10","","Length as required","Eurorack 16-10 pin power cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","10U","","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C3 C4 C5 C6 C7 C8 C11 C14","8","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"C9 C10 C12 C13","4","47P","","","Capacitor - Ceramic","https://www.mouser.ca/datasheet/2/427/kseries-1763315.pdf","Vishay","K470K15C0GH53L2","Mouser","594-K470K15C0GH53L2","https://www.mouser.ca/ProductDetail/Vishay-BC-Components/K470K15C0GH53L2?qs=vmM6vcLFxxH%252BnUnXm2ihfA%3D%3D","","","","","",""
"D1 D2","2","LED_Dual_5mm_ACA","","","Dual LED, red and green, common cathode on pin 2","https://www.mouser.ca/datasheet/2/216/WP59SURKCGKW-78112.pdf","Kingbright","WP59SURKCGKW","Mouser","604-WP59SURKCGKW","https://www.mouser.ca/ProductDetail/Kingbright/WP59SURKCGKW?qs=sGAEpiMZZMvHYEB9WUp7EhaldIk4dKK1HOS5sGoXrpo%3D","","","","","",""
"D3 D4 D5 D6 D7 D8","6","1N4148","","","Switching diode, 100V 0.15A, DO-35","https://www.mouser.ca/datasheet/2/308/1N914_D-2309448.pdf","On Semi / Fairchild","1N4148-T50R","Mouser","512-1N4148T50R","https://www.mouser.ca/ProductDetail/?qs=0lQeLiL1qyZS6rosZp7Ehg%3D%3D","","","","","",""
"H1 H5 H6 H10","4","HW_Screw_M3x0.50x6","","","Machine screw, M3x0.50x6","","","","","","","","","","","",""
"H3 H8","2","HW_Standoff_F-F_11mm_M3x0.50","","","Standoff, 11mm, female-female, M3x0.50","https://www.thonk.co.uk/wp-content/uploads/2018/05/standoff-datasheet.pdf","Ettinger","05.03.111","Thonk","Mech_11mm_Standoff_(x10)","https://www.thonk.co.uk/shop/standoffs/","Mouser","710-970110321","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/970110321?qs=wr8lucFkNMUs0IWSCWTB3w%3D%3D","","",""
"J1 J2 J3 J4 J5 J6 J7 J8","8","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J9 J11","2","Conn_PCB_Front","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D","","",""
"J10 J12","2","Conn_PCB_Back","","","Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","Adafruit","392","https://www.adafruit.com/product/392","Mouser","649-1012937893601BLF","https://www.mouser.ca/ProductDetail/649-1012937893601BLF","","",""
"J13","1","Conn_Eurorack_10","","","Eurorack 10-pin board power connector","https://www.mouser.ca/datasheet/2/445/61201021621-1717731.pdf","Wurth Elektronik","61201021621","Mouser","710-61201021621","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61201021621?qs=%2Fha2pyFadugkhyfdWLPRIwz9kroMfF%252BXZWEETFcVSqiQRaqHzEC2RQ%3D%3D","Mouser","523-G821EU210AAL10Y","https://www.mouser.ca/ProductDetail/523-G821EU210AAL10Y","","",""
"R1 R2 R3 R4 R5 R6 R8 R12 R13 R14 R15 R16 R17 R18 R20","15","100K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-100K","Mouser","603-MFR-12FTF52-100K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-100K?qs=oAGoVhmvjhxn7uX6J9%2FOug%3D%3D","","","","","",""
"R7 R19","2","51R","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"R9 R10 R21 R22","4","10K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-10K","Mouser","603-MFR-12FTF52-10K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-10K?qs=oAGoVhmvjhzLlUYKKBtdYQ%3D%3D","","","","","",""
"R11 R23","2","4K7","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-4K7","Mouser","603-MFR-12FTF52-4K7","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-4K7?qs=oAGoVhmvjhwCB3QIStJPAg%3D%3D","","","","","",""
"R24","1","75K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-75K","Mouser","603-MFR-12FTF52-75K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-75K?qs=oAGoVhmvjhxG7qVOuGlgew%3D%3D","","","","","",""
"R25","1","11K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-11K","Mouser","603-MFR-12FTF52-11K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-11K?qs=oAGoVhmvjhx1sOCa0IR7aA%3D%3D","","","","","",""
"R26","1","36K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-36K","Mouser","603-MFR-12FTF52-36K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-36K?qs=oAGoVhmvjhyIq6EO5blb%252BQ%3D%3D","","","","","",""
"R27","1","200R","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-200R","Mouser","603-MFR-12FTF52-200R","https://www.mouser.ca/ProductDetail/603-MFR-12FTF52-200R","","","","","",""
"RV1 RV2 RV3 RV4 RV5 RV6 RV7 RV8","8","100K","LIN","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"U1 U2","2","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
"U3","1","TL072","","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","https://www.ti.com/lit/ds/symlink/tl072b.pdf?ts=1628812694194","Texas Instruments","TL072BCP","Mouser","595-TL072BCP","https://www.mouser.ca/ProductDetail/Texas-Instruments/TL072BCP?qs=p6YqzpSxLIxmo8AyZLsP4g%3D%3D","","","","","",""
