Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"R10 R11 R12 R13","4","R","47K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-47K","Mouser","603-MFR-12FTF52-47K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-47K?qs=oAGoVhmvjhylO%2Fy0ChGYrw%3D%3D","","","","","",""
"R14 R15","2","R_51R_Output","51R","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"R16 R17","2","R","100K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FRF52-10K","Mouser","603-MFR-12FRF5210K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FRF52-10K?qs=sGAEpiMZZMsPqMdJzcrNwl7IR%2FWPk8YP7c4XT%2Fr88hQ%3D","","","","","",""
"RV1 RV2 RV3 RV4 RV5 RV6 RV7 RV8","8","R_POT_Panel_PCB_Alpha","100K","LIN","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-40-15R1-B100K-00DL1","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"SW1 SW2","2","SW_SPST","SPDT","","","Single Pole Single Throw (SPST) sub-mini toggle switch","https://www.mouser.ca/datasheet/2/221/MS-100542-1173960.pdf","Mountain Switch","10TC410","Mouser","10TC410","https://www.mouser.ca/ProductDetail/Mountain-Switch/10TC410?qs=ITV4B%252BNEbToIZH965UXZQg%3D%3D","Thonk","","https://www.thonk.co.uk/shop/sub-mini-toggle-switches/","SynthCube","","https://synthcube.com/cart/toggle-switch-submini-pc-pin"
"U1","1","ATmega328P-PU","ATmega328P-PU","","16 MHz","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28","https://www.microchip.com/en-us/product/ATmega328P","Microchip","ATMEGA328P-PU","Mouser","556-ATMEGA328P-PU","https://www.mouser.ca/ProductDetail/?qs=K8BHR703ZXguOQv3sKbWcg%3D%3D","","","","","",""
"U2","1","MCP4822","MCP4822","","","2-Channel 12-Bit D/A Converters with SPI Interface and Internal Reference (2.048V)","https://www.mouser.ca/datasheet/2/268/21953a-8929.pdf","Microchip","MCP4822-E/P","Mouser","579-MCP4822-E/P","https://www.mouser.ca/ProductDetail/Microchip-Technology/MCP4822-E-P?qs=usxtMOJb1RzHfzfJDNfOOg%3D%3D","","","","","",""
"U3","1","TL072","TL072","","","Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8","https://www.ti.com/lit/ds/symlink/tl072b.pdf?ts=1628812694194","Texas Instruments","TL072BCP","Mouser","595-TL072BCP","https://www.mouser.ca/ProductDetail/Texas-Instruments/TL072BCP?qs=p6YqzpSxLIxmo8AyZLsP4g%3D%3D","","","","","",""
"U4","1","DG413","DG413","","","Quad SPST Monolithic CMOS Analog Switches, normally 2xON + 2xOFF, 17Ohm Ron, DIP-16","https://www.mouser.ca/datasheet/2/698/REN_dg411_12_13_DST_19990602-1528592.pdf","Renesas / Intersil","DG413DJZ","Mouser","968-DG413DJZ","https://www.mouser.ca/ProductDetail/968-DG413DJZ","","","","","",""
"Y1","1","Resonator_16MHz","16MHz","","","Three pin ceramic resonator, small symbol","https://www.mouser.ca/datasheet/2/281/p17e-1539077.pdf","Murata","CSTLS16M0X53Z-A0","Mouser"," 81-CSTLS16M0X53Z-A0","https://www.mouser.ca/ProductDetail/?qs=x6vGwhDZZUZCi2wdIsDbVA%3D%3D","","","","","",""
