Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"C1 C2","2","CP_10U","10U","25 VDC","","Capacitor - Electrolytic - 12 V decoupling","https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf","Panasonic","EEA-FC1E100","Mouser","667-EEA-FC1E100","https://www.mouser.ca/ProductDetail/Panasonic/EEA-FC1E100?qs=nLJruSqDb94EJwiFQJd4iw%3D%3D"
"C3 C4 C5 C6 C7 C8 C9 C10","8","CC_100N","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6"
"C11 C12 C13","3","CF","3N3","","","Capacitor - Film","https://www.mouser.ca/datasheet/2/212/F3294_MMK-1101858.pdf","KEMET","MMK5102J100J01L16.5TA18","Mouser","80-MMK5102J100J1TA18","https://www.mouser.ca/ProductDetail/KEMET/MMK5102J100J01L165TA18?qs=IKDMbYZLynDyIIzWkajPBA%3D%3D"
"D1 D2","2","MBR150","MBR150","","","Schottky rectifier diode","https://www.onsemi.com/pdf/datasheet/mbr150-d.pdf","On Semi","MBR150RLG","Mouser","863-MBR150RLG","https://www.mouser.ca/ProductDetail/ON-Semiconductor/MBR150RLG?qs=3JMERSakebpMUdfDTQP0Kw%3D%3D"
"D3 D4","2","1N5711","1N5711","","","Schottky signal diode","https://www.mouser.ca/datasheet/2/389/cd00000759-1795802.pdf","STMicroelectronics","1N5711","Mouser","511-1N5711","https://www.mouser.ca/ProductDetail/STMicroelectronics/1N5711?qs=FITO%2F%2FQgYDnH7pJ7rS2FRA%3D%3D"
"D5","1","LED_5mm_Blue","VAOL-5LSBY1","","","Blue Light Emitting Diode","https://www.mouser.ca/datasheet/2/423/VAOL-5LSBY1-1064871.pdf","VCC","VAOL-5LSBY1","Mouser","593-VAOL-5LSBY1","https://www.mouser.ca/ProductDetail/VCC/VAOL-5LSBY1?qs=sGAEpiMZZMvHYEB9WUp7EneOMcS%2FsWIS9dCGd3NWsaQ%3D"
"H1","1","PCB_Delptronics_MCS_4HP","PCB_Delptronics_MCS_4HP","","PCB & panel kit","Delptronics Module Construction Set - 4HP PCB & panel kit","https://delptronics.com/module-construction-set.php","Delptronics","","Delptronics","","https://delptronics.com/module-construction-set.php","synthCube","DELPMCSMSTR","https://synthcube.com/cart/delptronics-module-construction-set","Modular Addict","","https://modularaddict.com/module-construction-set-eurorack-prototype-development-platform-delptronics"
"J1","1","Conn_FTDI","FTDI USB-TTL","","","Pin header for FTDI USB-serial cable","","",""
"J5 J6 J7 J8","4","Jack_WQP-PJ398","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"JP1","1","Jumper_2_Open","RESET","","","Jumper, 2-pole, open","","",""
"Q1","1","Q_NPN_2N3904","2N3904","","","Small Signal NPN Transistor, 0.2A Ic, 40V Vce, TO-92","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Central Semiconductor","2N3904 PBFREE","Mouser","610-2N3904","https://www.mouser.ca/ProductDetail/Central-Semiconductor/2N3904-PBFREE?qs=u16ybLDytRZopNVvg2vJjA%3D%3D"
"R1 R2 R19","3","R","100K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FRF52-10K","Mouser","603-MFR-12FRF5210K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FRF52-10K?qs=sGAEpiMZZMsPqMdJzcrNwl7IR%2FWPk8YP7c4XT%2Fr88hQ%3D"
"R3 R5 R12","3","R","10K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FRF52-10K","Mouser","603-MFR-12FRF5210K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FRF52-10K?qs=sGAEpiMZZMsPqMdJzcrNwl7IR%2FWPk8YP7c4XT%2Fr88hQ%3D"
"R4 R6 R7 R8","4","R","20K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-20K","Mouser","603-MFR-12FTF52-20K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-20K?qs=sGAEpiMZZMsPqMdJzcrNwiweiCzxKzWL3Dli7pqtTkM%3D"
"R9 R10 R11","3","R","47K","","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-30K","Mouser","603-MFR-12FTF52-30K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-30K?qs=oAGoVhmvjhx41C7LP55%2FiQ%3D%3D"
