Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"R3 R7 R11 R13 R19 R23 R27 R29","8","10K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-10K","Mouser","603-MFR-12FTF52-10K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-10K?qs=oAGoVhmvjhzLlUYKKBtdYQ%3D%3D","","","","","",""
"R4 R5 R20 R21","4","22K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-22K","Mouser","603-MFR-12FTF52-22K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-22K?qs=oAGoVhmvjhz9ZKUDWW4Eng%3D%3D","","","","","",""
"R6 R22","2","1K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-1K","Mouser","603-MFR-12FTF52-1K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-1K?qs=oAGoVhmvjhziakooNB4n2Q%3D%3D","","","","","",""
"R8 R9 R24 R25","4","15K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-15K","Mouser","603-MFR-12FTF52-15K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-15K?qs=oAGoVhmvjhxmMJFRswMR%252BA%3D%3D","","","","","",""
"R10 R12 R26 R28","4","68R","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/YAGEO_MFR_datasheet_2023v3-3324391.pdf","YAGEO","MFR-12FTF52-68R","Mouser","603-MFR-12FTF52-68R","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-68R?qs=oAGoVhmvjhxfB0np9uFU6Q%3D%3D","","","","","",""
"R16 R32","2","51R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FBF52-51R","Mouser","603-MFR-25FBF52-51R","https://www.mouser.ca/ProductDetail/?qs=oAGoVhmvjhzVx2bdEH1TLQ%3D%3D","","","","","",""
"RV1 RV4","2","50K","LOG","","Dual potentiometer, separate units","https://www.thonk.co.uk/wp-content/uploads/Documents/alpha/9mm/DUAL%20GANG%20-%20RD902F-40-15R1-A50K-0057.pdf","Alpha","RD902F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","","","","","",""
"RV2 RV5","2","50K","LOG","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","","","","","",""
"RV3 RV6","2","10K","LOG","","Dual potentiometer, separate units","https://www.thonk.co.uk/wp-content/uploads/Documents/alpha/9mm/DUAL%20GANG%20-%20RD902F-40-15R1-A50K-0057.pdf","Alpha","RD902F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","","","","","",""
"SW1 SW2","2","SW_SP3T","","","Toggle Switch, three position, single pole triple throw, 3 position switch, SP3T, ON-ON-ON, NKK A24JP","https://www.nkkswitches.com/pdf/Atoggles.pdf","NKK","A24JP","Mouser","633-A24JP","https://www.mouser.ca/ProductDetail/NKK-Switches/A24JP?qs=44TLCAUTxJtLIZ6%252BdaihIA%3D%3D&_gl=1*uxfj65*_ga*NjQ4NzEzNjQzLjE3MDIxNDIyMTg.*_ga_15W4STQT4T*MTcwMjE0MjIxNy4xLjAuMTcwMjE0MjIxNy42MC4wLjA.","DigiKey","360-3408-ND","https://www.digikey.ca/en/products/detail/nkk-switches/A24JP/1055616","","",""
"U1 U2 U3","3","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
