Ref,Qty,Name,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"R10 R12 R30 R33","4","R_1%_0W166","150K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R13 R14 R34 R35","4","R_1%_0W166","60K1","1%","","Resistor","https://www.mouser.ca/datasheet/2/427/cmfmil-1762972.pdf","Vishay / Dale","RN55D6012FB14","Mouser","71-RN55D-F-60.1K","https://www.mouser.ca/ProductDetail/71-RN55D-F-60.1K","","","","","",""
"R15 R16 R36 R37","4","R_1%_0W166","20K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"R17 R18 R19 R20 R21 R22 R24 R38 R39 R40 R41 R42 R43 R44 R45 R46 R47","17","R_1%_0W166","47K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-47K","Mouser","603-MFR-12FTF52-47K","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-47K?qs=oAGoVhmvjhylO%2Fy0ChGYrw%3D%3D","","","","","",""
"R23 R25 R48 R49","4","R_1K_Output","1K","5%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/427/ccf07-1762725.pdf","Vishay / Dale","CCF071K00JKE36","Mouser","71-CCF071K00JKE36","https://www.mouser.ca/ProductDetail/Vishay-Dale/CCF071K00JKE36?qs=sGAEpiMZZMsPqMdJzcrNwqw41JD0NFylHV1MADcQnpo%3D","","","","","",""
"R50 R51 R54 R55","4","R_1%_0W166","11K","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12*","Mouser","603-MFR-12*","https://www.mouser.ca/c/?m=YAGEO&power+rating=166+mW+(1%2f6+W)&tolerance=1+%25&instock=y","","","","","",""
"RV1 RV3 RV5 RV7","4","R_POT_Panel_PCB_Alpha","100K","LIN","","Potentiometer","https://www.mouser.ca/datasheet/2/13/alpha_taiwan_08192019_RD901F-40-15R1-B(resistance_-1627810.pdf","Alpha","RD901F-*","Thonk","Group_Pot_Alpha_6.35mm","https://www.thonk.co.uk/shop/alpha-9mm-pots/","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"RV2 RV4 RV6 RV8","4","R_POT_TRIM_Panel_SongHuei","100K","LIN","","Potentiometer","http://www.song-huei.com/proimages//eng/pdfimages/R0904N.pdf","Song Huei","R0904N*","SynthCube","SH9MMTPOTMSTR","https://synthcube.com/cart/9mm-trimmer-pots","Mouser","311-1940F-*","https://www.mouser.ca/c/passive-components/potentiometers-trimmers-rheostats/potentiometers/?q=RD901F&orientation=Vertical","SynthCube","9MMALPHAPOTMSTR","https://synthcube.com/cart/alpha-9mm-potentiometer-right-angle-pcb-mount-6-35mm-round-shaft"
"U1","1","LM4040","LM4040","5V0","","LM4040 shunt voltage reference","https://www.ti.com/lit/ds/symlink/lm4040-n.pdf?ts=1622551591255","Texas Instruments","LM4040BIZ-5.0/NOPB","Mouser","926-LM4040BIZ50NOPB","https://www.mouser.ca/ProductDetail/Texas-Instruments/LM4040BIZ-50-NOPB?qs=QbsRYf82W3GLY9MRUWoCeQ%3D%3D","","","","","",""
"U2","1","SSI2164","SSI2164","","","Fatkeys™ Quad Voltage Controlled Amplifier","http://soundsemiconductor.com/downloads/ssi2164datasheet.pdf","Sound Semiconductor","SSI2164","Synthcube","ICNSSI2164SMT","https://synthcube.com/cart/sound-semiconductor-ssi2164-fatkeys-quad-voltage-controlled-amplifier?search=ssi2164&description=true","Antique Electronic Supply","P-Q-SSI2164","https://www.tubesandmore.com/products/integrated-circuit-ssi2164-quad-vca-sound-semiconductor","","",""
"U3 U4 U5 U6","4","TL074","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
